id,name,description,usage_notes,conflict_warnings,recommended_grades,is_active,created_at
1,표현무용실,표현활동과 무용 수업용,실내화 착용 필수 매트 사용,행사 시 사용 불가,전학년,TRUE,2024-01-01T09:00:00.000Z
2,놀이활동실1,놀이 및 체육 활동용,안전 장비 착용 정리정돈 필수,우천 시 집중 사용,1-2학년,TRUE,2024-01-01T09:00:00.000Z
3,놀이활동실2,놀이 및 체육 활동용,안전 장비 착용 정리정돈 필수,우천 시 집중 사용,1-2학년,TRUE,2024-01-01T09:00:00.000Z
4,운동장,야외 체육 활동 및 행사용,날씨 확인 필수 안전사고 주의,우천 시 사용 불가,전학년,TRUE,2024-01-01T09:00:00.000Z
5,풋살장,축구 및 풋살 활동용,축구화 착용 권장 안전 수칙 준수,우천 시 사용 불가,3-6학년,TRUE,2024-01-01T09:00:00.000Z
6,제1컴퓨터실,컴퓨터 수업 및 정보 활용,개인 USB 준비 조용히 수업,시험 기간 사용 제한,전학년,TRUE,2024-01-01T09:00:00.000Z
7,제2컴퓨터실,컴퓨터 수업 및 정보 활용,개인 USB 준비 조용히 수업,시험 기간 사용 제한,전학년,TRUE,2024-01-01T09:00:00.000Z
8,야외정원,자연 관찰 및 야외 수업용,날씨 확인 필수 벌레 주의,우천 시 사용 불가,전학년,TRUE,2024-01-01T09:00:00.000Z
9,시청각실,영상 시청 및 발표용,조용히 사용 장비 사용법 숙지,행사 시 사용 불가,전학년,TRUE,2024-01-01T09:00:00.000Z
10,강당,대규모 행사 및 전교생 집회,정리정돈 철저 마이크 사용법 숙지,체육대회 등 행사 우선,전학년,TRUE,2024-01-01T09:00:00.000Z 
